blind_id,source_kind,arm,task,round,judge_part,layout_hierarchy,layout_hierarchy_gold_centered,spacing_alignment_balance,spacing_alignment_balance_gold_centered,color_typography,color_typography_gold_centered,style_originality_finish,style_originality_finish_gold_centered,overall,overall_gold_centered
K093,main,SELF,ab000007,5,3,68,65.458,70,66.833,84,81.278,76,73.722,72,68.958
K094,main,MAD,ab000005,0,1,65,65.458,73,72.167,72,73.333,70,67.333,65,64.625
K095,main,AXES,ab000003,3,2,84,86.236,80,83.722,82,83.833,80,84.056,82,85.292
K096,main,FUSED,ab000011,5,3,72,69.458,77,73.833,80,77.278,74,71.722,75,71.958
K097,gold,GOLD,ab000012,1,1,67,67.458,62,61.167,79,80.333,77,74.333,69,68.625
K098,gold,GOLD,ab000002,1,2,81,83.236,78,81.722,82,83.833,79,83.056,80,83.292
K099,main,AXES,ab000006,0,3,79,76.458,78,74.833,77,74.278,73,70.722,77,73.958
K100,main,FUSED,ab000007,1,1,58,58.458,64,63.167,76,77.333,70,67.333,59,58.625
K101,main,FUSED,ab000006,5,2,82,84.236,79,82.722,84,85.833,81,85.056,81,84.292
K102,main,SELF,ab000005,2,3,85,82.458,90,86.833,82,79.278,77,74.722,83,79.958
K103,main,AXES,ab000001,5,1,52,52.458,50,49.167,66,67.333,61,58.333,53,52.625
K104,main,FUSED,ab000009,5,2,80,82.236,82,85.722,78,79.833,77,81.056,79,82.292
K105,main,MAD,ab000004,1,3,86,83.458,86,82.833,88,85.278,82,79.722,85,81.958
K106,main,SELF,ab000010,3,1,86,86.458,84,83.167,82,83.333,85,82.333,84,83.625
K107,main,FUSED,ab000001,1,2,32,34.236,28,31.722,60,61.833,34,38.056,32,35.292
K108,main,SELF,ab000011,3,3,75,72.458,78,74.833,80,77.278,73,70.722,76,72.958
K109,main,AXES,ab000002,4,1,80,80.458,79,78.167,76,77.333,78,75.333,78,77.625
K110,main,SELF,ab000001,2,2,34,36.236,28,31.722,63,64.833,35,39.056,33,36.292
K111,main,MAD,ab000010,5,3,82,79.458,81,77.833,87,84.278,83,80.722,84,80.958
K112,main,SELF,ab000006,4,1,82,82.458,80,79.167,78,79.333,85,82.333,82,81.625
K113,gold,GOLD,ab000012,0,2,79,81.236,81,84.722,84,85.833,77,81.056,79,82.292
K114,main,SELF,ab000002,0,3,49,46.458,53,49.833,70,67.278,59,56.722,56,52.958
K115,main,MAD,ab000006,4,1,78,78.458,75,74.167,78,79.333,81,78.333,78,77.625
K116,main,SELF,ab000002,5,2,44,46.236,39,42.722,67,68.833,48,52.056,44,47.292
K117,gold,GOLD,ab000002,3,3,88,85.458,87,83.833,86,83.278,83,80.722,86,82.958
K118,gold,GOLD,ab000010,3,1,80,80.458,82,81.167,80,81.333,81,78.333,80,79.625
K119,main,SELF,ab000004,1,2,80,82.236,81,84.722,82,83.833,78,82.056,80,83.292
K120,main,FUSED,ab000011,1,3,77,74.458,79,75.833,82,79.278,75,72.722,78,74.958
K121,main,AXES,ab000003,5,1,82,82.458,81,80.167,77,78.333,79,76.333,79,78.625
K122,main,FUSED,ab000008,4,2,87,89.236,85,88.722,89,90.833,87,91.056,87,90.292
K123,main,SELF,ab000010,2,3,86,83.458,85,81.833,89,86.278,86,83.722,87,83.958
K124,main,FUSED,ab000002,0,1,60,60.458,58,57.167,70,71.333,67,64.333,62,61.625
K125,main,AXES,ab000002,5,2,63,65.236,58,61.722,76,77.833,64,68.056,62,65.292
K126,main,FUSED,ab000005,2,3,80,77.458,88,84.833,80,77.278,76,73.722,81,77.958
K127,main,SELF,ab000012,5,1,83,83.458,84,83.167,84,85.333,84,81.333,84,83.625
K128,main,MAD,ab000003,1,2,76,78.236,75,78.722,72,73.833,71,75.056,74,77.292
K129,main,AXES,ab000011,1,3,62,59.458,68,64.833,75,72.278,68,65.722,67,63.958
K130,main,MAD,ab000002,0,1,60,60.458,58,57.167,70,71.333,67,64.333,62,61.625
K131,main,FUSED,ab000005,3,2,81,83.236,83,86.722,79,80.833,80,84.056,81,84.292
K132,main,AXES,ab000009,0,3,82,79.458,84,80.833,76,73.278,72,69.722,79,75.958
K133,main,FUSED,ab000001,4,1,61,61.458,60,59.167,70,71.333,66,63.333,62,61.625
K134,main,SELF,ab000012,1,2,75,77.236,79,82.722,82,83.833,73,77.056,75,78.292
K135,main,FUSED,ab000007,4,3,75,72.458,78,74.833,88,85.278,83,80.722,79,75.958
K136,main,MAD,ab000011,2,1,82,82.458,82,81.167,80,81.333,82,79.333,81,80.625
K137,main,MAD,ab000010,1,2,86,88.236,79,82.722,89,90.833,87,91.056,85,88.292
K138,main,AXES,ab000006,3,3,66,63.458,61,57.833,74,71.278,71,68.722,67,63.958
K139,main,MAD,ab000001,1,1,68,68.458,68,67.167,73,74.333,69,66.333,69,68.625
K140,main,FUSED,ab000002,1,2,55,57.236,49,52.722,70,71.833,55,59.056,53,56.292
K141,main,MAD,ab000012,3,3,83,80.458,82,78.833,87,84.278,84,81.722,84,80.958
K142,main,AXES,ab000001,1,1,64,64.458,65,64.167,73,74.333,69,66.333,66,65.625
K143,main,AXES,ab000001,0,2,84,86.236,85,88.722,78,79.833,81,85.056,83,86.292
K144,main,SELF,ab000006,3,3,83,80.458,81,77.833,76,73.278,77,74.722,80,76.958
K145,main,FUSED,ab000009,4,1,81,81.458,82,81.167,80,81.333,75,72.333,79,78.625
K146,main,SELF,ab000001,4,2,34,36.236,28,31.722,63,64.833,35,39.056,33,36.292
K147,gold,GOLD,ab000002,5,3,87,84.458,87,83.833,85,82.278,83,80.722,85,81.958
K148,main,AXES,ab000008,4,1,74,74.458,72,71.167,84,85.333,80,77.333,76,75.625
K149,main,SELF,ab000012,2,2,78,80.236,80,83.722,83,84.833,76,80.056,78,81.292
K150,main,MAD,ab000004,5,3,86,83.458,86,82.833,86,83.278,82,79.722,84,80.958
K151,main,MAD,ab000010,0,1,82,82.458,80,79.167,77,78.333,82,79.333,80,79.625
K152,main,MAD,ab000008,1,2,88,90.236,87,90.722,91,92.833,88,92.056,88,91.292
K153,main,FUSED,ab000003,5,3,85,82.458,84,80.833,79,76.278,86,83.722,84,80.958
K154,main,AXES,ab000010,4,1,76,76.458,72,71.167,78,79.333,80,77.333,76,75.625
K155,main,FUSED,ab000004,0,2,82,84.236,82,85.722,83,84.833,80,84.056,81,84.292
K156,main,MAD,ab000002,2,3,69,66.458,67,63.833,77,74.278,74,71.722,71,67.958
K157,main,SELF,ab000005,1,1,70,70.458,75,74.167,73,74.333,72,69.333,69,68.625
K158,main,SELF,ab000001,3,2,33,35.236,27,30.722,62,63.833,34,38.056,31,34.292
K159,gold,GOLD,ab000010,0,3,86,83.458,84,80.833,88,85.278,86,83.722,86,82.958
K160,main,SELF,ab000012,0,1,82,82.458,84,83.167,82,83.333,81,78.333,82,81.625
K161,main,MAD,ab000004,2,2,88,90.236,87,90.722,90,91.833,88,92.056,88,91.292
K162,main,SELF,ab000005,0,3,84,81.458,90,86.833,82,79.278,77,74.722,83,79.958
K163,main,SELF,ab000010,0,1,82,82.458,80,79.167,77,78.333,82,79.333,80,79.625
K164,main,MAD,ab000007,2,2,46,48.236,40,43.722,72,73.833,48,52.056,45,48.292
K165,main,FUSED,ab000006,3,3,80,77.458,77,73.833,80,77.278,78,75.722,79,75.958
K166,main,MAD,ab000012,5,1,76,76.458,78,77.167,83,84.333,81,78.333,77,76.625
K167,main,SELF,ab000009,0,2,77,79.236,78,81.722,74,75.833,72,76.056,75,78.292
K168,main,FUSED,ab000012,3,3,82,79.458,83,79.833,86,83.278,84,81.722,84,80.958
K169,main,FUSED,ab000006,2,1,78,78.458,76,75.167,75,76.333,78,75.333,77,76.625
K170,main,MAD,ab000002,1,2,61,63.236,57,60.722,72,73.833,60,64.056,60,63.292
K171,main,AXES,ab000003,0,3,82,79.458,84,80.833,80,77.278,75,72.722,80,76.958
K172,main,AXES,ab000011,3,1,76,76.458,75,74.167,77,78.333,77,74.333,76,75.625
K173,main,SELF,ab000011,0,2,67,69.236,65,68.722,69,70.833,63,67.056,65,68.292
K174,main,SELF,ab000009,3,3,82,79.458,84,80.833,75,72.278,72,69.722,79,75.958
K175,main,SELF,ab000002,1,1,68,68.458,67,66.167,76,77.333,74,71.333,70,69.625
K176,main,FUSED,ab000010,1,2,82,84.236,82,85.722,77,78.833,80,84.056,80,83.292
K177,main,FUSED,ab000009,2,3,82,79.458,84,80.833,78,75.278,73,70.722,80,76.958
K178,main,SELF,ab000001,5,1,52,52.458,48,47.167,68,69.333,60,57.333,52,51.625
K179,main,FUSED,ab000006,0,2,62,64.236,61,64.722,67,68.833,60,64.056,61,64.292
K180,main,MAD,ab000012,1,3,85,82.458,85,81.833,88,85.278,84,81.722,85,81.958
K181,main,AXES,ab000002,3,1,82,82.458,82,81.167,82,83.333,81,78.333,81,80.625
K182,main,FUSED,ab000001,3,2,44,46.236,40,43.722,62,63.833,42,46.056,42,45.292
K183,main,MAD,ab000008,3,3,86,83.458,83,79.833,89,86.278,86,83.722,87,83.958
K184,main,AXES,ab000010,0,1,82,82.458,80,79.167,78,79.333,82,79.333,80,79.625
K185,main,AXES,ab000004,2,2,76,78.236,78,81.722,76,77.833,72,76.056,75,78.292
K186,main,AXES,ab000008,3,3,83,80.458,81,77.833,89,86.278,84,81.722,85,81.958
K187,main,SELF,ab000007,2,1,58,58.458,64,63.167,76,77.333,70,67.333,59,58.625
K188,main,FUSED,ab000001,2,2,50,52.236,46,49.722,65,66.833,48,52.056,48,51.292
K189,main,SELF,ab000003,2,3,82,79.458,84,80.833,80,77.278,75,72.722,80,76.958
K190,main,MAD,ab000005,5,1,75,75.458,78,77.167,78,79.333,79,76.333,75,74.625
K191,main,MAD,ab000009,5,2,84,86.236,85,88.722,80,81.833,81,85.056,83,86.292
K192,main,FUSED,ab000008,2,3,84,81.458,82,78.833,88,85.278,84,81.722,85,81.958
K193,main,MAD,ab000006,2,1,79,79.458,76,75.167,78,79.333,80,77.333,78,77.625
K194,main,AXES,ab000003,4,2,76,78.236,76,79.722,73,74.833,72,76.056,74,77.292
K195,gold,GOLD,ab000010,2,3,85,82.458,83,79.833,88,85.278,85,82.722,86,82.958
K196,main,AXES,ab000008,2,1,80,80.458,78,77.167,83,84.333,81,78.333,80,79.625
K197,main,FUSED,ab000004,2,2,52,54.236,50,53.722,42,43.833,48,52.056,49,52.292
K198,main,AXES,ab000001,4,3,64,61.458,61,57.833,78,75.278,72,69.722,68,64.958
K199,main,SELF,ab000008,0,1,80,80.458,78,77.167,85,86.333,83,80.333,81,80.625
K200,main,AXES,ab000010,1,2,58,60.236,55,58.722,64,65.833,57,61.056,57,60.292
K201,main,FUSED,ab000011,0,3,63,60.458,70,66.833,76,73.278,68,65.722,69,65.958
K202,main,AXES,ab000007,5,1,61,61.458,66,65.167,79,80.333,74,71.333,62,61.625
K203,main,AXES,ab000009,5,2,86,88.236,86,89.722,82,83.833,83,87.056,85,88.292
K204,main,SELF,ab000005,3,3,80,77.458,86,82.833,76,73.278,75,72.722,79,75.958
K205,main,AXES,ab000011,0,1,77,77.458,78,77.167,75,76.333,75,72.333,76,75.625
K206,main,MAD,ab000011,5,2,76,78.236,74,77.722,75,76.833,71,75.056,74,77.292
K207,main,FUSED,ab000002,4,3,72,69.458,74,70.833,84,81.278,78,75.722,76,72.958
K208,main,FUSED,ab000008,3,1,86,86.458,84,83.167,88,89.333,86,83.333,86,85.625
K209,main,SELF,ab000010,1,2,83,85.236,78,81.722,85,86.833,82,86.056,82,85.292
K210,main,AXES,ab000004,5,3,84,81.458,83,79.833,86,83.278,82,79.722,84,80.958
K211,main,AXES,ab000009,2,1,82,82.458,82,81.167,80,81.333,76,73.333,79,78.625
K212,main,SELF,ab000006,1,2,70,72.236,68,71.722,72,73.833,66,70.056,68,71.292
K213,main,FUSED,ab000004,3,3,65,62.458,72,68.833,82,79.278,74,71.722,70,66.958
K214,main,FUSED,ab000004,5,1,75,75.458,78,77.167,79,80.333,75,72.333,75,74.625
K215,main,FUSED,ab000003,1,2,83,85.236,82,85.722,80,81.833,79,83.056,81,84.292
K216,main,MAD,ab000003,4,3,84,81.458,85,81.833,81,78.278,76,73.722,81,77.958
K217,main,MAD,ab000002,4,1,80,80.458,78,77.167,76,77.333,79,76.333,78,77.625
K218,main,FUSED,ab000007,0,2,46,48.236,41,44.722,70,71.833,47,51.056,45,48.292
K219,main,FUSED,ab000003,0,3,84,81.458,85,81.833,81,78.278,76,73.722,81,77.958
K220,main,AXES,ab000006,2,1,80,80.458,78,77.167,79,80.333,80,77.333,79,78.625
K221,gold,GOLD,ab000012,4,2,86,88.236,85,88.722,87,88.833,86,90.056,86,89.292
K222,main,SELF,ab000009,2,3,82,79.458,84,80.833,76,73.278,72,69.722,79,75.958
K223,main,SELF,ab000005,4,1,52,52.458,59,58.167,64,65.333,55,52.333,54,53.625
K224,main,FUSED,ab000005,0,2,75,77.236,73,76.722,72,73.833,70,74.056,73,76.292
K225,main,SELF,ab000006,0,3,79,76.458,78,74.833,77,74.278,73,70.722,77,73.958
K226,main,FUSED,ab000007,3,1,63,63.458,68,67.167,79,80.333,76,73.333,64,63.625
K227,main,SELF,ab000011,4,2,68,70.236,65,68.722,69,70.833,64,68.056,66,69.292
K228,main,SELF,ab000006,5,3,84,81.458,83,79.833,79,76.278,83,80.722,82,78.958
K229,main,MAD,ab000008,5,1,82,82.458,80,79.167,84,85.333,82,79.333,81,80.625
K230,main,AXES,ab000009,1,2,81,83.236,81,84.722,77,78.833,76,80.056,79,82.292
K231,main,AXES,ab000002,2,3,76,73.458,73,69.833,84,81.278,79,76.722,78,74.958
K232,main,AXES,ab000007,0,1,60,60.458,65,64.167,76,77.333,71,68.333,60,59.625
K233,main,MAD,ab000002,5,2,72,74.236,65,68.722,75,76.833,69,73.056,70,73.292
K234,main,SELF,ab000007,4,3,67,64.458,70,66.833,84,81.278,76,73.722,72,68.958
K235,main,AXES,ab000008,5,1,82,82.458,79,78.167,84,85.333,82,79.333,81,80.625
K236,main,SELF,ab000012,3,2,79,81.236,80,83.722,83,84.833,77,81.056,79,82.292
K237,main,AXES,ab000011,2,3,60,57.458,68,64.833,76,73.278,67,64.722,66,62.958
K238,main,SELF,ab000007,3,1,62,62.458,67,66.167,77,78.333,73,70.333,62,61.625
K239,main,AXES,ab000001,2,2,86,88.236,87,90.722,82,83.833,84,88.056,85,88.292
K240,main,FUSED,ab000006,1,3,68,65.458,64,60.833,70,67.278,67,64.722,67,63.958
K241,main,SELF,ab000011,2,1,78,78.458,80,79.167,76,77.333,77,74.333,77,76.625
K242,main,AXES,ab000006,5,2,80,82.236,77,80.722,83,84.833,79,83.056,79,82.292
K243,main,SELF,ab000004,3,3,83,80.458,84,80.833,86,83.278,80,77.722,83,79.958
K244,main,FUSED,ab000005,5,1,81,81.458,82,81.167,79,80.333,80,77.333,80,79.625
K245,main,FUSED,ab000003,3,2,84,86.236,78,81.722,84,85.833,82,86.056,81,84.292
K246,gold,GOLD,ab000010,5,3,72,69.458,76,72.833,78,75.278,75,72.722,74,70.958
K247,main,FUSED,ab000007,5,1,67,67.458,71,70.167,82,83.333,79,76.333,68,67.625
K248,main,MAD,ab000011,4,2,67,69.236,64,67.722,69,70.833,62,66.056,65,68.292
K249,main,MAD,ab000008,0,3,72,69.458,76,72.833,86,83.278,78,75.722,77,73.958
K250,main,SELF,ab000007,0,1,53,53.458,58,57.167,73,74.333,66,63.333,55,54.625
K251,main,AXES,ab000010,2,2,78,80.236,76,79.722,79,80.833,76,80.056,77,80.292
K252,main,AXES,ab000008,0,3,76,73.458,77,73.833,87,84.278,80,77.722,79,75.958
K253,gold,GOLD,ab000007,5,1,77,77.458,75,74.167,80,81.333,78,75.333,77,76.625
K254,main,SELF,ab000008,2,2,82,84.236,78,81.722,87,88.833,80,84.056,81,84.292
K255,main,AXES,ab000012,1,3,28,25.458,35,31.833,67,64.278,33,30.722,38,34.958
K256,main,SELF,ab000008,4,1,84,84.458,82,81.167,88,89.333,85,82.333,84,83.625
K257,main,MAD,ab000001,4,2,41,43.236,35,38.722,68,69.833,40,44.056,39,42.292
K258,main,MAD,ab000007,5,3,68,65.458,71,67.833,86,83.278,80,77.722,73,69.958
K259,main,AXES,ab000005,5,1,64,64.458,61,60.167,70,71.333,66,63.333,63,62.625
K260,main,AXES,ab000011,5,2,65,67.236,67,70.722,68,69.833,61,65.056,64,67.292
K261,main,MAD,ab000012,0,3,77,74.458,82,78.833,84,81.278,78,75.722,80,76.958
K262,main,SELF,ab000004,5,1,77,77.458,78,77.167,82,83.333,80,77.333,78,77.625
K263,main,AXES,ab000004,1,2,78,80.236,78,81.722,80,81.833,75,79.056,77,80.292
K264,main,SELF,ab000011,5,3,76,73.458,79,75.833,80,77.278,74,71.722,77,73.958
K265,main,SELF,ab000010,4,1,85,85.458,83,82.167,80,81.333,83,80.333,82,81.625
K266,main,FUSED,ab000012,2,2,82,84.236,82,85.722,85,86.833,80,84.056,82,85.292
K267,main,SELF,ab000001,1,3,77,74.458,82,78.833,69,66.278,74,71.722,75,71.958
K268,main,FUSED,ab000002,2,1,68,68.458,67,66.167,74,75.333,70,67.333,69,68.625
K269,main,SELF,ab000003,1,2,79,81.236,79,82.722,77,78.833,75,79.056,78,81.292
K270,main,MAD,ab000003,0,3,82,79.458,84,80.833,80,77.278,75,72.722,80,76.958
K271,main,FUSED,ab000008,0,1,82,82.458,80,79.167,86,87.333,83,80.333,82,81.625
K272,gold,GOLD,ab000002,0,2,44,46.236,39,42.722,68,69.833,47,51.056,44,47.292
K273,main,MAD,ab000011,0,3,63,60.458,70,66.833,76,73.278,68,65.722,69,65.958
K274,main,MAD,ab000009,2,1,83,83.458,84,83.167,82,83.333,78,75.333,81,80.625
K275,main,MAD,ab000007,4,2,59,61.236,56,59.722,76,77.833,57,61.056,58,61.292
K276,main,MAD,ab000007,3,3,72,69.458,73,69.833,86,83.278,80,77.722,76,72.958
K277,main,MAD,ab000001,0,1,81,81.458,82,81.167,78,79.333,72,69.333,78,77.625
K278,main,MAD,ab000009,0,2,81,83.236,81,84.722,77,78.833,75,79.056,79,82.292
K279,main,SELF,ab000004,0,3,87,84.458,87,83.833,88,85.278,82,79.722,86,82.958
K280,main,SELF,ab000008,1,1,78,78.458,76,75.167,85,86.333,81,78.333,79,78.625
K281,main,AXES,ab000012,0,2,79,81.236,81,84.722,84,85.833,77,81.056,79,82.292
K282,main,AXES,ab000010,5,3,86,83.458,82,78.833,87,84.278,89,86.722,86,82.958
K283,main,AXES,ab000006,4,1,82,82.458,79,78.167,81,82.333,83,80.333,81,80.625
K284,main,FUSED,ab000004,1,2,53,55.236,50,53.722,43,44.833,48,52.056,50,53.292
