blind_id,task,repeat,condition,round,source,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
TG01_I031,ab000001,0,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000001/candidates/r3.png,57,55,56,52,56
TG01_I032,ab000001,2,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000001/candidates/r4.png,77,75,76,72,76
TG01_I033,ab000001,1,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000001/candidates/r3.png,84,82,83,79,83
TG01_I034,ab000001,1,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000001/candidates/r1.png,73,71,72,68,72
TG01_I035,ab000001,0,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000001/candidates/r2.png,80,78,79,75,79
TG01_I036,ab000001,2,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000001/candidates/r4.png,69,67,68,64,68
TG01_I037,ab000001,1,CEN_MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000001/candidates/r5.png,76,74,75,71,75
TG01_I038,ab000001,2,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000001/candidates/r2.png,83,81,82,78,82
TG01_I039,ab000001,0,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000001/candidates/r4.png,72,70,71,67,71
TG01_I040,ab000001,0,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000001/candidates/r3.png,79,77,78,74,78
TG01_I041,ab000001,1,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000001/candidates/r2.png,86,84,85,81,85
TG01_I042,ab000001,1,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000001/candidates/r5.png,75,73,74,70,74
TG01_I043,ab000001,1,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/R0/problems/ab000001/candidates/r0.png,82,80,81,77,81
TG01_I044,ab000001,0,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000001/candidates/r1.png,71,69,70,66,70
TG01_I045,ab000001,0,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/R0/problems/ab000001/candidates/r0.png,78,76,77,73,77
TG01_I046,ab000001,1,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000001/candidates/r3.png,85,83,84,80,84
TG01_I047,ab000001,1,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000001/candidates/r3.png,74,72,73,69,73
TG01_I048,ab000001,0,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000001/candidates/r4.png,81,79,80,76,80
TG01_I049,ab000001,1,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000001/candidates/r3.png,25,23,24,20,24
TG01_I050,ab000001,0,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000001/candidates/r1.png,77,75,76,72,76
TG01_I051,ab000001,1,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000001/candidates/r4.png,84,82,83,79,83
TG01_I052,ab000001,0,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000001/candidates/r1.png,73,71,72,68,72
TG01_I053,ab000001,1,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000001/candidates/r5.png,80,78,79,75,79
TG01_I054,ab000001,1,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000001/candidates/r2.png,69,67,68,64,68
TG01_I055,ab000001,2,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/R0/problems/ab000001/candidates/r0.png,76,74,75,71,75
TG01_I056,ab000001,2,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000001/candidates/r1.png,83,81,82,78,82
TG01_I057,ab000001,2,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000001/candidates/r2.png,72,70,71,67,71
TG01_I058,ab000001,0,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000001/candidates/r5.png,79,77,78,74,78
TG01_I059,ab000001,2,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000001/candidates/r1.png,86,84,85,81,85
TG01_I060,ab000001,1,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000001/candidates/r2.png,75,73,74,70,74
TG01_I061,ab000001,2,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000001/candidates/r2.png,82,80,81,77,81
TG01_I062,ab000001,1,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000001/candidates/r1.png,71,69,70,66,70
TG01_I063,ab000001,2,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000001/candidates/r2.png,78,76,77,73,77
TG01_I064,ab000001,2,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000001/candidates/r3.png,85,83,84,80,84
TG01_I065,ab000001,2,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000001/candidates/r1.png,44,42,43,39,43
TG01_I066,ab000001,1,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000001/candidates/r4.png,81,79,80,76,80
TG01_I067,ab000001,0,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000001/candidates/r2.png,70,68,69,65,69
TG01_I068,ab000001,0,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000001/candidates/r5.png,77,75,76,72,76
TG01_I069,ab000001,0,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000001/candidates/r4.png,84,82,83,79,83
TG01_I070,ab000001,2,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000001/candidates/r5.png,73,71,72,68,72
TG01_I071,ab000001,0,CEN_MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000001/candidates/r5.png,80,78,79,75,79
TG01_I072,ab000001,2,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000001/candidates/r3.png,69,67,68,64,68
TG01_I073,ab000001,0,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000001/candidates/r2.png,76,74,75,71,75
TG01_I074,ab000001,2,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000001/candidates/r4.png,83,81,82,78,82
TG01_I075,ab000001,2,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000001/candidates/r4.png,72,70,71,67,71
TG01_I076,ab000001,0,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000001/candidates/r3.png,79,77,78,74,78
TG01_I077,ab000001,0,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000001/candidates/r3.png,86,84,85,81,85
TG01_I078,ab000001,0,MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000001/candidates/r5.png,75,73,74,70,74
TG02_I001,ab000002,2,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000002/candidates/r4.png,74,72,73,69,73
TG02_I002,ab000002,2,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000002/candidates/r3.png,85,83,84,80,84
TG02_I003,ab000002,0,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000002/candidates/r5.png,72,70,71,67,71
TG02_I004,ab000002,0,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000002/candidates/r3.png,83,81,82,78,82
TG02_I005,ab000002,2,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000002/candidates/r4.png,70,68,69,65,69
TG02_I006,ab000002,1,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000002/candidates/r1.png,81,79,80,76,80
TG02_I007,ab000002,1,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000002/candidates/r3.png,68,66,67,63,67
TG02_I008,ab000002,2,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000002/candidates/r1.png,79,77,78,74,78
TG02_I009,ab000002,1,CEN_MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000002/candidates/r5.png,66,64,65,61,65
TG02_I010,ab000002,0,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000002/candidates/r3.png,77,75,76,72,76
TG02_I011,ab000002,0,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/R0/problems/ab000002/candidates/r0.png,64,62,63,59,63
TG02_I012,ab000002,0,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000002/candidates/r4.png,75,73,74,70,74
TG02_I013,ab000002,0,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000002/candidates/r2.png,86,84,85,81,85
TG02_I014,ab000002,0,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000002/candidates/r4.png,73,71,72,68,72
TG02_I015,ab000002,0,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000002/candidates/r3.png,84,82,83,79,83
TG02_I016,ab000002,1,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000002/candidates/r1.png,71,69,70,66,70
TG02_I017,ab000002,2,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000002/candidates/r2.png,82,80,81,77,81
TG02_I018,ab000002,1,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000002/candidates/r1.png,69,67,68,64,68
TG02_I019,ab000002,1,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000002/candidates/r2.png,80,78,79,75,79
TG02_I020,ab000002,2,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000002/candidates/r4.png,67,65,66,62,66
TG02_I021,ab000002,2,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000002/candidates/r1.png,78,76,77,73,77
TG02_I022,ab000002,0,MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000002/candidates/r5.png,65,63,64,60,64
TG02_I023,ab000002,0,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000002/candidates/r2.png,76,74,75,71,75
TG02_I024,ab000002,0,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000002/candidates/r2.png,63,61,62,58,62
TG02_I025,ab000002,2,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000002/candidates/r5.png,74,72,73,69,73
TG02_I026,ab000002,2,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000002/candidates/r5.png,85,83,84,80,84
TG02_I027,ab000002,1,MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000002/candidates/r5.png,72,70,71,67,71
TG02_I028,ab000002,1,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000002/candidates/r3.png,83,81,82,78,82
TG02_I029,ab000002,1,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000002/candidates/r4.png,70,68,69,65,69
TG02_I030,ab000002,0,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000002/candidates/r2.png,81,79,80,76,80
TG02_I031,ab000002,0,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000002/candidates/r1.png,68,66,67,63,67
TG02_I032,ab000002,2,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000002/candidates/r2.png,79,77,78,74,78
TG02_I033,ab000002,2,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000002/candidates/r3.png,66,64,65,61,65
TG02_I034,ab000002,1,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000002/candidates/r5.png,77,75,76,72,76
TG02_I035,ab000002,1,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000002/candidates/r3.png,64,62,63,59,63
TG02_I036,ab000002,0,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000002/candidates/r1.png,75,73,74,70,74
TG02_I037,ab000002,2,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000002/candidates/r4.png,86,84,85,81,85
TG02_I038,ab000002,1,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/R0/problems/ab000002/candidates/r0.png,73,71,72,68,72
TG02_I039,ab000002,0,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000002/candidates/r5.png,84,82,83,79,83
TG02_I040,ab000002,1,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000002/candidates/r2.png,71,69,70,66,70
TG02_I041,ab000002,0,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000002/candidates/r4.png,82,80,81,77,81
TG02_I042,ab000002,1,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000002/candidates/r4.png,69,67,68,64,68
TG02_I043,ab000002,1,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000002/candidates/r3.png,80,78,79,75,79
TG02_I044,ab000002,2,R0,0,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/R0/problems/ab000002/candidates/r0.png,67,65,66,62,66
TG02_I045,ab000002,2,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000002/candidates/r2.png,78,76,77,73,77
TG02_I046,ab000002,0,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000002/candidates/r1.png,65,63,64,60,64
TG02_I047,ab000002,2,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000002/candidates/r1.png,76,74,75,71,75
TG02_I048,ab000002,1,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000002/candidates/r2.png,63,61,62,58,62
TG02_I049,ab000002,0,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000002/candidates/r3.png,74,72,73,69,73
TG02_I050,ab000002,1,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000002/candidates/r3.png,85,83,84,80,84
TG02_I051,ab000002,0,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000002/candidates/r2.png,72,70,71,67,71
TG02_I052,ab000002,1,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000002/candidates/r2.png,83,81,82,78,82
TG02_I053,ab000002,2,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000002/candidates/r2.png,70,68,69,65,69
TG02_I054,ab000002,0,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/MAD/problems/ab000002/candidates/r3.png,81,79,80,76,80
TG02_I055,ab000002,1,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000002/candidates/r1.png,68,66,67,63,67
TG02_I056,ab000002,1,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000002/candidates/r2.png,79,77,78,74,78
TG02_I057,ab000002,2,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000002/candidates/r3.png,66,64,65,61,65
TG02_I058,ab000002,2,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000002/candidates/r1.png,77,75,76,72,76
TG02_I059,ab000002,0,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000002/candidates/r4.png,64,62,63,59,63
TG02_I060,ab000002,2,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000002/candidates/r3.png,75,73,74,70,74
TG02_I061,ab000002,0,CEN_MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000002/candidates/r5.png,86,84,85,81,85
TG02_I062,ab000002,2,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000002/candidates/r5.png,73,71,72,68,72
TG02_I063,ab000002,2,MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000002/candidates/r2.png,84,82,83,79,83
TG02_I064,ab000002,0,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000002/candidates/r1.png,71,69,70,66,70
TG02_I065,ab000002,0,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000002/candidates/r5.png,82,80,81,77,81
TG02_I066,ab000002,1,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000002/candidates/r1.png,69,67,68,64,68
TG02_I067,ab000002,0,SELF,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000002/candidates/r1.png,80,78,79,75,79
TG02_I068,ab000002,0,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000002/candidates/r4.png,67,65,66,62,66
TG02_I069,ab000002,2,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000002/candidates/r3.png,78,76,77,73,77
TG02_I070,ab000002,1,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000002/candidates/r4.png,65,63,64,60,64
TG02_I071,ab000002,1,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000002/candidates/r4.png,76,74,75,71,75
TG02_I072,ab000002,2,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000002/candidates/r4.png,63,61,62,58,62
TG02_I073,ab000002,1,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/SELF/problems/ab000002/candidates/r5.png,74,72,73,69,73
TG02_I074,ab000002,1,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000002/candidates/r5.png,85,83,84,80,84
TG02_I075,ab000002,1,MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000002/candidates/r4.png,72,70,71,67,71
TG02_I076,ab000002,2,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000002/candidates/r1.png,83,81,82,78,82
