blind_id,repeat,task,condition,round,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
Q0826,0,ab000003,MAD,4,75,75,78,74,76
Q0645,0,ab000003,MAD,5,77,77,80,76,78
Q0395,0,ab000003,R0,0,65,64,66,69,68
Q0053,0,ab000003,SELF,1,79,69,75,74,67
Q0364,0,ab000003,SELF,2,66,72,67,74,65
Q0104,0,ab000003,SELF,3,77,69,78,68,67
Q0881,0,ab000003,SELF,4,73,73,76,72,71
Q0649,0,ab000003,SELF,5,78,78,81,77,79
Q0362,0,ab000004,AXES,1,73,79,78,74,74
Q0503,0,ab000004,AXES,2,72,79,73,80,78
Q0430,0,ab000004,AXES,3,76,76,78,79,77
Q0883,0,ab000004,AXES,4,75,75,78,74,76
Q0845,0,ab000004,AXES,5,70,70,73,69,68
Q0472,0,ab000004,CEN_MAD,1,73,75,80,77,73
Q0542,0,ab000004,CEN_MAD,2,79,75,78,74,76
Q0532,0,ab000004,CEN_MAD,3,73,73,81,79,73
Q0492,0,ab000004,CEN_MAD,4,80,72,74,81,76
Q0876,0,ab000004,CEN_MAD,5,71,71,74,70,69
Q0116,0,ab000004,FUSED,1,78,75,81,80,73
Q0023,0,ab000004,FUSED,2,81,75,84,74,73
Q0264,0,ab000004,FUSED,3,75,75,83,79,73
Q0177,0,ab000004,FUSED,4,81,75,80,76,73
Q0855,0,ab000004,FUSED,5,68,68,71,67,66
Q0789,0,ab000004,MAD,1,74,74,77,73,72
Q0455,0,ab000004,MAD,2,75,72,77,74,78
Q0237,0,ab000004,MAD,3,78,75,83,79,73
Q0781,0,ab000004,MAD,4,72,72,75,71,70
Q0686,0,ab000004,MAD,5,73,73,76,72,71
Q0776,0,ab000004,R0,0,73,73,76,72,71
Q0858,0,ab000004,SELF,1,71,71,74,70,69
Q0678,0,ab000004,SELF,2,71,71,74,70,69
Q0437,0,ab000004,SELF,3,74,75,80,75,78
Q0658,0,ab000004,SELF,4,75,75,78,74,76
Q0393,0,ab000004,SELF,5,76,80,79,75,74
Q0182,0,ab000005,AXES,1,64,61,64,63,59
Q0724,0,ab000005,AXES,2,65,65,68,64,63
Q0878,0,ab000005,AXES,3,72,72,75,71,70
Q0149,0,ab000005,AXES,4,64,61,70,60,59
Q0059,0,ab000005,AXES,5,63,61,70,60,59
Q0916,0,ab000005,CEN_MAD,1,68,68,71,67,66
Q0794,0,ab000005,CEN_MAD,2,69,69,72,68,67
Q0453,0,ab000005,CEN_MAD,3,66,68,71,65,68
Q0489,0,ab000005,CEN_MAD,4,71,65,71,65,62
Q0286,0,ab000005,CEN_MAD,5,61,61,71,64,59
Q0775,0,ab000005,FUSED,1,61,61,60,60,59
Q0450,0,ab000005,FUSED,2,63,70,69,72,70
Q0699,0,ab000005,FUSED,3,70,70,73,69,68
Q0568,0,ab000005,FUSED,4,63,70,67,65,64
Q0090,0,ab000005,FUSED,5,62,61,63,59,59
Q0554,0,ab000005,MAD,1,70,71,69,71,70
Q0168,0,ab000005,MAD,2,68,61,66,62,59
Q0879,0,ab000005,MAD,3,70,70,73,69,68
Q0798,0,ab000005,MAD,4,70,70,73,69,68
Q0804,0,ab000005,MAD,5,67,67,70,66,65
Q0429,0,ab000005,R0,0,69,63,68,70,63
Q0636,0,ab000005,SELF,1,70,70,73,69,68
Q0915,0,ab000005,SELF,2,70,70,73,69,68
Q0726,0,ab000005,SELF,3,70,70,73,69,68
Q0600,0,ab000005,SELF,4,67,68,67,70,70
Q0612,0,ab000005,SELF,5,66,68,64,66,64
Q0326,0,ab000006,AXES,1,73,71,68,74,66
Q0486,0,ab000006,AXES,2,73,75,74,76,74
Q0668,0,ab000006,AXES,3,82,82,85,86,83
Q0578,0,ab000006,AXES,4,67,73,72,74,66
Q0721,0,ab000006,AXES,5,84,84,87,88,85
Q0770,0,ab000006,CEN_MAD,1,85,85,88,89,86
Q0466,0,ab000006,CEN_MAD,2,72,71,73,77,73
Q0609,0,ab000006,CEN_MAD,3,71,73,68,69,70
Q0181,0,ab000006,CEN_MAD,4,76,68,75,68,66
Q0500,0,ab000006,CEN_MAD,5,72,73,70,73,70
Q0632,0,ab000006,FUSED,1,82,82,85,86,83
Q0910,0,ab000006,FUSED,2,84,84,87,88,85
Q0675,0,ab000006,FUSED,3,77,77,80,81,78
Q0665,0,ab000006,FUSED,4,79,79,82,83,80
Q0792,0,ab000006,FUSED,5,77,77,80,81,78
Q0595,0,ab000006,MAD,1,71,70,73,73,73
Q0616,0,ab000006,MAD,2,75,73,68,77,71
Q0695,0,ab000006,MAD,3,82,82,85,86,83
Q0538,0,ab000006,MAD,4,69,71,68,76,68
Q0222,0,ab000006,MAD,5,69,68,73,69,66
Q0653,0,ab000006,R0,0,85,85,88,89,86
Q0075,0,ab000006,SELF,1,78,68,76,72,66
Q0783,0,ab000006,SELF,2,77,77,80,81,78
Q0594,0,ab000006,SELF,3,68,67,73,77,68
Q0760,0,ab000006,SELF,4,78,78,81,82,79
Q0141,0,ab000006,SELF,5,78,68,73,69,66
Q0198,0,ab000007,AXES,1,67,67,69,65,65
Q0230,0,ab000007,AXES,2,72,67,76,66,65
Q0036,0,ab000007,AXES,3,74,67,69,65,65
Q0631,0,ab000007,AXES,4,79,79,82,78,80
Q0830,0,ab000007,AXES,5,77,77,80,76,78
Q0397,0,ab000007,CEN_MAD,1,59,55,56,53,55
Q0562,0,ab000007,CEN_MAD,2,61,67,64,64,62
Q0462,0,ab000007,CEN_MAD,3,61,64,62,67,68
Q0694,0,ab000007,CEN_MAD,4,79,79,82,78,80
Q0427,0,ab000007,CEN_MAD,5,62,65,70,65,60
Q0001,0,ab000007,FUSED,1,73,67,74,67,65
Q0195,0,ab000007,FUSED,2,71,67,72,68,65
Q0380,0,ab000007,FUSED,3,62,63,67,68,68
Q0706,0,ab000007,FUSED,4,73,73,76,72,71
Q0127,0,ab000007,FUSED,5,70,67,74,67,65
Q0647,0,ab000007,MAD,1,74,74,77,73,72
Q0123,0,ab000007,MAD,2,68,67,72,68,65
Q0906,0,ab000007,MAD,3,78,78,81,77,79
Q0748,0,ab000007,MAD,4,79,79,82,78,80
Q0708,0,ab000007,MAD,5,78,78,81,77,79
Q0166,0,ab000007,R0,0,73,67,71,73,65
Q0535,0,ab000007,SELF,1,64,61,63,64,61
Q0914,0,ab000007,SELF,2,80,80,83,79,81
Q0134,0,ab000007,SELF,3,68,67,73,72,65
Q0654,0,ab000007,SELF,4,78,78,81,77,79
Q0495,0,ab000007,SELF,5,66,64,64,70,63
Q0223,0,ab000008,AXES,1,78,71,81,74,69
Q0784,0,ab000008,AXES,2,85,85,88,89,86
Q0741,0,ab000008,AXES,3,81,81,84,85,82
Q0206,0,ab000008,AXES,4,75,71,77,76,69
Q0651,0,ab000008,AXES,5,81,81,84,85,82
Q0389,0,ab000008,CEN_MAD,1,77,77,78,77,78
Q0758,0,ab000008,CEN_MAD,2,83,83,86,87,84
Q0461,0,ab000008,CEN_MAD,3,74,77,82,81,78
Q0035,0,ab000008,CEN_MAD,4,72,71,77,76,69
Q0506,0,ab000008,CEN_MAD,5,81,80,83,81,73
Q0476,0,ab000008,FUSED,1,76,74,79,77,75
Q0080,0,ab000008,FUSED,2,78,71,77,76,69
Q0355,0,ab000008,FUSED,3,80,82,76,79,81
Q0126,0,ab000008,FUSED,4,79,71,73,69,69
Q0621,0,ab000008,FUSED,5,81,75,75,78,74
Q0705,0,ab000008,MAD,1,81,81,84,85,82
Q0328,0,ab000008,MAD,2,78,79,78,81,80
Q0911,0,ab000008,MAD,3,83,83,86,87,84
Q0214,0,ab000008,MAD,4,79,71,81,74,69
Q0646,0,ab000008,MAD,5,82,82,85,86,83
Q0751,0,ab000008,R0,0,79,79,82,83,80
Q0843,0,ab000008,SELF,1,84,84,87,88,85
Q0259,0,ab000008,SELF,2,74,71,81,74,69
Q0203,0,ab000008,SELF,3,79,71,80,70,69
Q0271,0,ab000008,SELF,4,80,71,78,71,69
Q0352,0,ab000008,SELF,5,75,76,77,81,78
Q0277,0,ab000009,AXES,1,66,65,75,68,63
Q0901,0,ab000009,AXES,2,64,66,63,63,62
Q0235,0,ab000009,AXES,3,67,65,72,65,63
Q0058,0,ab000009,AXES,4,72,65,69,71,63
Q0302,0,ab000009,AXES,5,73,65,74,64,63
Q0225,0,ab000009,CEN_MAD,1,73,65,67,63,63
Q0732,0,ab000009,CEN_MAD,2,75,77,78,74,76
Q0068,0,ab000009,CEN_MAD,3,66,65,74,64,63
Q0860,0,ab000009,CEN_MAD,4,80,82,83,79,81
Q0220,0,ab000009,CEN_MAD,5,65,65,69,71,63
Q0481,0,ab000009,FUSED,1,73,77,75,74,76
Q0822,0,ab000009,FUSED,2,75,77,78,74,76
Q0394,0,ab000009,FUSED,3,76,75,79,74,73
Q0688,0,ab000009,FUSED,4,73,75,76,72,71
Q0063,0,ab000009,FUSED,5,69,65,67,63,63
Q0279,0,ab000009,MAD,1,67,65,67,63,63
Q0827,0,ab000009,MAD,2,74,76,77,73,72
Q0837,0,ab000009,MAD,3,72,74,75,71,70
Q0824,0,ab000009,MAD,4,80,82,83,79,81
Q0236,0,ab000009,MAD,5,73,65,68,67,63
Q0329,0,ab000009,R0,0,72,75,76,75,74
Q0483,0,ab000009,SELF,1,75,79,79,74,71
Q0470,0,ab000009,SELF,2,79,77,76,81,70
Q0637,0,ab000009,SELF,3,76,78,79,75,77
Q0212,0,ab000009,SELF,4,72,65,74,64,63
Q0814,0,ab000009,SELF,5,73,75,76,72,71
Q0293,0,ab000010,AXES,1,77,68,77,67,66
Q0403,0,ab000010,AXES,2,73,72,71,72,72
Q0197,0,ab000010,AXES,3,73,68,74,73,66
Q0178,0,ab000010,AXES,4,69,68,78,71,66
Q0092,0,ab000010,AXES,5,70,68,71,70,66
Q0330,0,ab000010,CEN_MAD,1,73,72,75,74,72
Q0219,0,ab000010,CEN_MAD,2,73,68,76,72,66
Q0518,0,ab000010,CEN_MAD,3,70,77,79,73,71
Q0098,0,ab000010,CEN_MAD,4,73,68,74,73,66
Q0440,0,ab000010,CEN_MAD,5,77,73,74,78,75
Q0517,0,ab000010,FUSED,1,77,77,79,73,75
Q0502,0,ab000010,FUSED,2,77,76,77,77,73
Q0743,0,ab000010,FUSED,3,76,76,79,75,77
Q0324,0,ab000010,FUSED,4,51,50,54,55,48
Q0447,0,ab000010,FUSED,5,56,50,54,51,47
Q0565,0,ab000010,MAD,1,78,77,71,80,69
Q0867,0,ab000010,MAD,2,71,71,74,70,69
Q0205,0,ab000010,MAD,3,77,68,78,71,66
Q0183,0,ab000010,MAD,4,77,68,76,72,66
Q0617,0,ab000010,MAD,5,71,70,78,74,73
Q0907,0,ab000010,R0,0,72,72,75,71,70
Q0499,0,ab000010,SELF,1,78,72,73,74,77
Q0739,0,ab000010,SELF,2,75,75,78,74,76
Q0045,0,ab000010,SELF,3,74,68,70,66,66
Q0736,0,ab000010,SELF,4,72,72,75,71,70
Q0557,0,ab000010,SELF,5,78,72,71,74,77
Q0761,0,ab000011,AXES,1,79,79,82,78,80
Q0448,0,ab000011,AXES,2,67,65,72,75,64
Q0356,0,ab000011,AXES,3,68,66,74,75,69
Q0718,0,ab000011,AXES,4,75,75,78,74,76
Q0284,0,ab000011,AXES,5,80,70,79,69,68
Q0788,0,ab000011,CEN_MAD,1,79,79,82,78,80
Q0801,0,ab000011,CEN_MAD,2,71,71,74,70,69
Q0890,0,ab000011,CEN_MAD,3,73,73,76,72,71
Q0311,0,ab000011,CEN_MAD,4,77,70,79,69,68
Q0584,0,ab000011,CEN_MAD,5,67,73,69,71,68
Q0548,0,ab000011,FUSED,1,73,67,72,71,69
Q0745,0,ab000011,FUSED,2,75,75,78,74,76
Q0144,0,ab000011,FUSED,3,76,70,72,68,68
Q0176,0,ab000011,FUSED,4,70,70,79,69,68
Q0550,0,ab000011,FUSED,5,65,66,66,68,68
Q0471,0,ab000011,MAD,1,69,69,71,69,65
Q0037,0,ab000011,MAD,2,72,70,77,70,68
Q0026,0,ab000011,MAD,3,72,70,76,75,68
Q0006,0,ab000011,MAD,4,73,70,75,71,68
Q0838,0,ab000011,MAD,5,78,78,81,77,79
Q0790,0,ab000011,R0,0,37,37,36,36,35
Q0531,0,ab000011,SELF,1,73,68,74,72,64
Q0388,0,ab000011,SELF,2,68,68,66,70,71
Q0661,0,ab000011,SELF,3,72,72,75,71,70
Q0913,0,ab000011,SELF,4,72,72,75,71,70
Q0325,0,ab000011,SELF,5,72,72,72,67,65
Q0340,0,ab000012,AXES,1,70,77,73,78,69
Q0367,0,ab000012,AXES,2,72,71,73,72,75
Q0443,0,ab000012,AXES,3,72,71,76,79,76
Q0820,0,ab000012,AXES,4,75,75,78,74,76
Q0047,0,ab000012,AXES,5,79,72,75,74,70
Q0076,0,ab000012,CEN_MAD,1,77,72,76,78,70
Q0525,0,ab000012,CEN_MAD,2,70,70,72,75,74
Q0421,0,ab000012,CEN_MAD,3,76,73,75,74,71
Q0169,0,ab000012,CEN_MAD,4,74,72,82,75,70
Q0030,0,ab000012,CEN_MAD,5,76,72,80,76,70
Q0354,0,ab000012,FUSED,1,71,70,79,72,75
Q0630,0,ab000012,FUSED,2,68,68,71,67,66
Q0869,0,ab000012,FUSED,3,76,76,79,75,77
Q0262,0,ab000012,FUSED,4,82,72,79,72,70
Q0239,0,ab000012,FUSED,5,76,72,81,71,70
Q0624,0,ab000012,MAD,1,71,76,72,80,76
Q0844,0,ab000012,MAD,2,72,72,75,71,70
Q0493,0,ab000012,MAD,3,75,77,76,77,69
Q0218,0,ab000012,MAD,4,82,72,75,74,70
Q0265,0,ab000012,MAD,5,78,72,76,78,70
Q0069,0,ab000012,R0,0,79,72,77,73,70
Q0153,0,ab000012,SELF,1,77,72,74,70,70
Q0432,0,ab000012,SELF,2,77,77,78,79,74
Q0187,0,ab000012,SELF,3,72,72,82,75,70
Q0179,0,ab000012,SELF,4,79,72,78,77,70
Q0224,0,ab000012,SELF,5,74,72,78,77,70
Q0298,1,ab000001,AXES,1,79,73,80,73,71
Q0061,1,ab000001,AXES,2,76,73,83,76,71
Q0579,1,ab000001,AXES,3,79,75,80,74,73
Q0596,1,ab000001,AXES,4,76,73,74,78,78
Q0140,1,ab000001,AXES,5,77,73,82,72,71
Q0868,1,ab000001,CEN_MAD,1,77,79,80,76,78
Q0028,1,ab000001,CEN_MAD,2,76,73,80,73,71
Q0659,1,ab000001,CEN_MAD,3,81,83,84,80,82
Q0004,1,ab000001,CEN_MAD,4,75,73,77,79,71
Q0160,1,ab000001,CEN_MAD,5,76,73,83,76,71
Q0243,1,ab000001,FUSED,1,79,73,75,71,71
Q0119,1,ab000001,FUSED,2,83,73,76,75,71
Q0870,1,ab000001,FUSED,3,82,84,85,81,83
Q0841,1,ab000001,FUSED,4,77,79,80,76,78
Q0683,1,ab000001,FUSED,5,78,80,81,77,79
Q0171,1,ab000001,MAD,1,76,73,75,71,71
Q0494,1,ab000001,MAD,2,73,78,81,77,74
Q0261,1,ab000001,MAD,3,77,73,75,71,71
Q0204,1,ab000001,MAD,4,76,73,78,74,71
Q0411,1,ab000001,MAD,5,75,73,75,79,71
Q0551,1,ab000001,R0,0,72,80,74,80,71
Q0633,1,ab000001,SELF,1,79,81,82,78,80
Q0342,1,ab000001,SELF,2,74,72,80,81,72
Q0226,1,ab000001,SELF,3,76,73,80,73,71
Q0161,1,ab000001,SELF,4,82,73,79,78,71
Q0698,1,ab000001,SELF,5,84,86,87,83,85
Q0681,1,ab000002,AXES,1,80,80,83,79,81
Q0210,1,ab000002,AXES,2,77,71,79,75,69
Q0003,1,ab000002,AXES,3,78,71,79,75,69
Q0083,1,ab000002,AXES,4,74,71,74,73,69
Q0468,1,ab000002,AXES,5,72,70,68,73,70
Q0836,1,ab000002,CEN_MAD,1,76,76,79,75,77
Q0634,1,ab000002,CEN_MAD,2,75,75,78,74,76
Q0740,1,ab000002,CEN_MAD,3,79,79,82,78,80
Q0643,1,ab000002,CEN_MAD,4,75,75,78,74,76
Q0101,1,ab000002,CEN_MAD,5,72,71,74,73,69
Q0289,1,ab000002,FUSED,1,78,71,78,71,69
Q0467,1,ab000002,FUSED,2,67,72,70,76,71
Q0619,1,ab000002,FUSED,3,72,71,68,72,73
Q0278,1,ab000002,FUSED,4,78,71,77,76,69
Q0935,1,ab000002,FUSED,5,76,76,79,75,77
Q0684,1,ab000002,MAD,1,74,74,77,73,72
Q0823,1,ab000002,MAD,2,61,61,60,60,59
Q0575,1,ab000002,MAD,3,68,69,70,72,73
Q0886,1,ab000002,MAD,4,75,75,78,74,76
Q0216,1,ab000002,MAD,5,80,71,73,69,69
Q0307,1,ab000002,R0,0,76,71,78,71,69
Q0100,1,ab000002,SELF,1,77,71,78,71,69
Q0676,1,ab000002,SELF,2,81,81,84,80,82
Q0763,1,ab000002,SELF,3,78,78,81,77,79
Q0606,1,ab000002,SELF,4,67,70,73,75,74
Q0247,1,ab000002,SELF,5,79,71,75,77,69
Q0615,1,ab000003,AXES,1,64,71,65,69,64
Q0539,1,ab000003,AXES,2,66,65,68,67,64
Q0891,1,ab000003,AXES,3,71,71,74,70,69
Q0111,1,ab000003,AXES,4,75,69,77,73,67
Q0039,1,ab000003,AXES,5,72,69,77,73,67
Q0351,1,ab000003,CEN_MAD,1,72,71,69,67,70
Q0051,1,ab000003,CEN_MAD,2,78,69,74,70,67
Q0370,1,ab000003,CEN_MAD,3,67,67,65,71,63
Q0882,1,ab000003,CEN_MAD,4,71,71,74,70,69
Q0256,1,ab000003,CEN_MAD,5,76,69,73,75,67
Q0929,1,ab000003,FUSED,1,76,76,79,75,77
Q0605,1,ab000003,FUSED,2,64,64,65,70,66
Q0785,1,ab000003,FUSED,3,76,76,79,75,77
Q0175,1,ab000003,FUSED,4,74,69,73,75,67
Q0151,1,ab000003,FUSED,5,73,69,79,72,67
Q0639,1,ab000003,MAD,1,71,71,74,70,69
Q0107,1,ab000003,MAD,2,73,69,75,74,67
Q0227,1,ab000003,MAD,3,78,69,72,71,67
Q0139,1,ab000003,MAD,4,78,69,73,75,67
Q0348,1,ab000003,MAD,5,67,65,68,66,65
Q0474,1,ab000003,R0,0,72,64,67,67,64
Q0482,1,ab000003,SELF,1,72,70,66,72,69
Q0148,1,ab000003,SELF,2,77,69,73,75,67
Q0117,1,ab000003,SELF,3,78,69,71,67,67
Q0833,1,ab000003,SELF,4,60,60,59,59,58
Q0598,1,ab000003,SELF,5,68,72,73,74,64
Q0115,1,ab000004,AXES,1,83,75,85,78,73
Q0553,1,ab000004,AXES,2,80,72,75,80,77
Q0514,1,ab000004,AXES,3,78,79,80,76,74
Q0021,1,ab000004,AXES,4,80,75,83,79,73
Q0292,1,ab000004,AXES,5,78,75,79,81,73
Q0041,1,ab000004,CEN_MAD,1,79,75,84,74,73
Q0439,1,ab000004,CEN_MAD,2,73,76,80,78,73
Q0872,1,ab000004,CEN_MAD,3,70,70,73,69,68
Q0457,1,ab000004,CEN_MAD,4,77,79,80,76,73
Q0752,1,ab000004,CEN_MAD,5,76,76,79,75,77
Q0089,1,ab000004,FUSED,1,81,75,81,80,73
Q0719,1,ab000004,FUSED,2,70,70,73,69,68
Q0570,1,ab000004,FUSED,3,77,80,77,76,73
Q0407,1,ab000004,FUSED,4,74,72,73,77,77
Q0065,1,ab000004,FUSED,5,80,75,78,77,73
Q0309,1,ab000004,MAD,1,81,75,83,79,73
Q0167,1,ab000004,MAD,2,76,75,84,74,73
Q0533,1,ab000004,MAD,3,73,73,79,79,77
Q0390,1,ab000004,MAD,4,79,78,73,79,79
Q0842,1,ab000004,MAD,5,76,76,79,75,77
Q0363,1,ab000004,R0,0,73,73,78,78,79
Q0331,1,ab000004,SELF,1,73,79,80,76,75
Q0207,1,ab000004,SELF,2,85,75,77,73,73
Q0074,1,ab000004,SELF,3,79,75,78,77,73
Q0899,1,ab000004,SELF,4,70,70,73,69,68
Q0386,1,ab000004,SELF,5,75,75,81,82,76
Q0366,1,ab000005,AXES,1,63,65,70,72,69
Q0297,1,ab000005,AXES,2,61,61,63,59,59
Q0582,1,ab000005,AXES,3,65,66,70,73,67
Q0611,1,ab000005,AXES,4,64,67,65,68,70
Q0496,1,ab000005,AXES,5,63,64,65,68,65
Q0545,1,ab000005,CEN_MAD,1,70,70,64,67,63
Q0772,1,ab000005,CEN_MAD,2,68,68,71,67,66
Q0703,1,ab000005,CEN_MAD,3,71,71,74,70,69
Q0469,1,ab000005,CEN_MAD,4,66,67,72,68,67
Q0048,1,ab000005,CEN_MAD,5,63,61,69,65,59
Q0813,1,ab000005,FUSED,1,55,55,54,54,53
Q0442,1,ab000005,FUSED,2,64,65,66,66,66
Q0385,1,ab000005,FUSED,3,65,67,66,66,63
Q0359,1,ab000005,FUSED,4,66,69,64,65,64
Q0217,1,ab000005,FUSED,5,65,61,68,61,59
Q0445,1,ab000005,MAD,1,64,67,65,72,67
Q0851,1,ab000005,MAD,2,53,53,52,52,51
Q0475,1,ab000005,MAD,3,68,70,72,71,63
Q0885,1,ab000005,MAD,4,51,51,50,50,49
Q0185,1,ab000005,MAD,5,71,61,70,60,59
Q0400,1,ab000005,R0,0,66,68,72,69,63
Q0128,1,ab000005,SELF,1,70,61,64,63,59
Q0628,1,ab000005,SELF,2,48,48,47,47,46
Q0778,1,ab000005,SELF,3,59,59,58,58,57
Q0383,1,ab000005,SELF,4,68,70,67,65,67
Q0032,1,ab000005,SELF,5,66,61,70,60,59
Q0007,1,ab000006,AXES,1,77,68,78,71,66
Q0056,1,ab000006,AXES,2,74,68,71,70,66
Q0067,1,ab000006,AXES,3,74,68,72,74,66
Q0477,1,ab000006,AXES,4,73,72,76,69,72
Q0346,1,ab000006,AXES,5,71,74,69,76,72
Q0240,1,ab000006,CEN_MAD,1,78,68,73,69,66
Q0426,1,ab000006,CEN_MAD,2,75,71,68,71,68
Q0710,1,ab000006,CEN_MAD,3,79,79,82,83,80
Q0031,1,ab000006,CEN_MAD,4,78,68,72,74,66
Q0046,1,ab000006,CEN_MAD,5,69,68,75,68,66
Q0029,1,ab000006,FUSED,1,77,68,71,70,66
Q0871,1,ab000006,FUSED,2,81,81,84,85,82
Q0832,1,ab000006,FUSED,3,78,78,81,82,79
Q0191,1,ab000006,FUSED,4,70,68,71,70,66
Q0626,1,ab000006,FUSED,5,18,18,17,22,16
Q0670,1,ab000006,MAD,1,78,78,81,82,79
Q0194,1,ab000006,MAD,2,77,68,77,67,66
Q0505,1,ab000006,MAD,3,70,73,75,70,70
Q0786,1,ab000006,MAD,4,80,80,83,84,81
Q0825,1,ab000006,MAD,5,83,83,86,87,84
Q0360,1,ab000006,R0,0,71,67,75,76,70
Q0919,1,ab000006,SELF,1,84,84,87,88,85
Q0416,1,ab000006,SELF,2,68,71,70,73,72
Q0747,1,ab000006,SELF,3,77,77,80,81,78
Q0310,1,ab000006,SELF,4,69,68,72,74,66
Q0038,1,ab000006,SELF,5,76,68,71,70,66
Q0339,1,ab000007,AXES,1,65,62,68,63,67
Q0281,1,ab000007,AXES,2,70,67,70,69,65
Q0444,1,ab000007,AXES,3,66,66,64,67,62
Q0691,1,ab000007,AXES,4,76,76,79,75,77
Q0559,1,ab000007,AXES,5,64,69,66,65,67
Q0488,1,ab000007,CEN_MAD,1,65,61,65,64,65
Q0602,1,ab000007,CEN_MAD,2,69,62,63,68,68
Q0381,1,ab000007,CEN_MAD,3,61,68,65,68,60
Q0656,1,ab000007,CEN_MAD,4,74,74,77,73,72
Q0106,1,ab000007,CEN_MAD,5,76,67,77,70,65
Q0852,1,ab000007,FUSED,1,78,78,81,77,79
